City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Ratnagiri,IN,2020-04-15 14:31:05,16.98,73.3,81.23,84,26,3.71
202,Prince Rupert,CA,2020-04-15 14:31:05,54.32,-130.32,42.8,100,90,2.24
203,Krasnovishersk,RU,2020-04-15 14:31:05,60.41,57.08,34.54,93,100,2.75
204,Palmer,US,2020-04-15 14:31:06,42.16,-72.33,46.99,30,40,10.29
205,Pecos,US,2020-04-15 14:31:06,31.42,-103.49,46.0,65,75,8.05
206,Lufilufi,WS,2020-04-15 14:31:06,-13.87,-171.6,84.34,73,61,9.75
207,Sumter,US,2020-04-15 14:31:07,28.71,-82.08,84.99,94,90,10.29
208,Havoysund,NO,2020-04-15 14:31:07,71.0,24.66,37.4,69,75,19.46
209,Fort Madison,US,2020-04-15 14:31:07,40.63,-91.32,32.0,80,35,9.17
210,Wewak,PG,2020-04-15 14:31:08,-3.55,143.63,79.25,81,21,2.17
211,Hamilton,US,2020-04-15 14:30:14,39.18,-84.53,46.0,52,1,9.17
212,Puerto Escondido,MX,2020-04-15 14:31:08,15.85,-97.07,75.2,69,5,2.86
213,Asau,RO,2020-04-15 14:31:09,46.43,26.4,55.4,32,40,6.93
214,Port Hardy,CA,2020-04-15 14:31:09,50.7,-127.42,46.4,93,90,3.36
215,Weinan,CN,2020-04-15 14:27:32,34.5,109.51,69.01,63,65,4.47
216,Fortuna,US,2020-04-15 14:31:09,40.6,-124.16,48.0,100,90,3.36
217,Wilmington,US,2020-04-15 14:29:50,34.23,-77.94,48.2,87,90,21.92
218,Burgeo,CA,2020-04-15 14:31:10,47.62,-57.62,36.77,82,77,5.75
219,Port-Cartier,CA,2020-04-15 14:28:06,50.03,-66.87,35.6,55,20,14.99
220,Roald,NO,2020-04-15 14:31:10,62.58,6.13,46.4,93,75,35.57
221,Richards Bay,ZA,2020-04-15 14:31:11,-28.78,32.04,72.01,73,39,9.69
222,Galle,LK,2020-04-15 14:31:11,6.04,80.22,82.2,79,91,6.44
223,Port Hedland,AU,2020-04-15 14:31:11,-20.32,118.57,82.4,83,46,8.05
224,Turayf,SA,2020-04-15 14:31:11,31.67,38.66,75.2,27,0,11.41
225,El Rosario,MX,2020-04-15 14:31:11,24.26,-107.18,61.0,87,20,3.36
226,Amapa,BR,2020-04-15 14:31:12,1.0,-52.0,82.72,65,97,3.27
227,Kajiado,KE,2020-04-15 14:28:27,-1.85,36.78,77.0,61,75,9.17
228,Erenhot,CN,2020-04-15 14:31:12,43.65,111.98,40.96,49,99,19.73
229,Banes,CU,2020-04-15 14:31:12,20.96,-75.72,84.2,66,40,3.36
230,Sergeyevka,KZ,2020-04-15 14:31:13,53.88,67.42,45.12,73,100,7.45
231,Marsh Harbour,BS,2020-04-15 14:31:13,26.54,-77.06,77.43,76,97,14.18
232,Tromso,NO,2020-04-15 14:31:13,69.65,18.96,37.4,87,75,19.46
233,Bangangte,CM,2020-04-15 14:31:13,5.14,10.52,74.86,59,75,0.11
234,Atar,MR,2020-04-15 14:31:14,20.52,-13.05,95.09,9,78,10.2
235,Port-Gentil,GA,2020-04-15 14:27:28,-0.72,8.78,89.6,70,40,13.87
236,Tilichiki,RU,2020-04-15 14:31:14,60.47,166.1,13.37,95,78,5.86
237,Oudtshoorn,ZA,2020-04-15 14:31:14,-33.59,22.2,71.6,46,96,4.7
238,Lasa,IT,2020-04-15 14:31:15,46.62,10.7,68.0,24,6,5.82
239,Aklavik,CA,2020-04-15 14:31:15,68.22,-135.01,32.0,86,75,5.82
240,Hay River,CA,2020-04-15 14:31:15,60.82,-115.8,19.4,79,20,6.78
